timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730966005947,193,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-8,,true,,3807,674,26,33,null,0,2528,0
1730966008475,193,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-8,text,true,,3807,674,26,33,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,193,0,0
1730966005109,198,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-9,,true,,3826,681,26,33,null,0,3381,0
1730966008490,198,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-9,text,true,,3826,681,26,33,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,198,0,0
1730966006298,2458,Select Product - 2,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,,true,,4106,681,26,33,null,0,0,0
1730966008553,203,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-30,text,true,,4106,681,26,33,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-01,203,0,0
1730966005958,202,Select Category - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,,true,,3928,649,25,32,null,0,2641,0
1730966008599,202,Select Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,text,true,,3928,649,25,32,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,202,0,0
1730966008801,0,Select Product - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-27,,true,,0,0,25,32,null,0,0,0
1730966006371,2479,Select Product - 2,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,,true,,4093,681,24,31,null,0,0,0
1730966008646,204,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-29,text,true,,4093,681,24,31,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,204,0,0
1730966008126,773,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,,true,,4973,597,23,30,null,0,0,579
1730966008126,773,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-15,text,true,,4973,597,23,30,https://petstore.octoperf.com/actions/Catalog.action,773,0,579
1730966007441,186,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-11,,true,,3804,674,23,30,null,0,1274,0
1730966008715,186,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-11,text,true,,3804,674,23,30,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-2,186,0,0
1730966007741,211,Select Item - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-6,,true,,3815,674,23,30,null,0,1067,0
1730966008808,211,Select Item,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-6,text,true,,3815,674,23,30,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-3,211,0,0
1730966006119,217,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-26,,true,,3826,681,23,30,null,0,2683,0
1730966008802,217,Select Product,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-26,text,true,,3826,681,23,30,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,217,0,0
1730966009019,0,Select Item - 2,,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-26,,true,,0,0,23,30,null,0,0,0
1730966008280,762,Open Url - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-13,,true,,4973,597,22,29,null,0,1,574
1730966008281,762,Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-13,text,true,,4973,597,22,29,https://petstore.octoperf.com/actions/Catalog.action,762,0,574
1730966006857,185,Select Product - 2,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-2,,true,,4093,681,22,29,null,0,2059,0
